student_no,grade,letter_grade,death_none,death_midterm,death_final
990059135,79.9617332332,'B',0,0,0
990182545,80.018496057,'B',0,0,0
990011440,84.3085396697,'B',0,0,0
990086500,55.7301614131,'D',0,0,0
990032870,68.6541710138,'C',0,0,0
990184455,59.4840961005,'D',0,0,0
990181395,66.6855281781,'C',0,0,0
990144940,73.3472315477,'B',0,0,0
990163645,78.76443724,'B',0,0,0
990227075,61.2958542874,'C',0,0,0
990246230,71.4371734198,'B',0,0,0
990091045,88.001009746,'A',0,0,0
990045470,56.6431044963,'D',0,0,0
990171395,58.6126809316,'D',0,0,0
990133905,64.2404727686,'C',0,0,0
990199640,74.9996718707,'B',0,0,0
990041255,74.425767852,'B',0,0,0
990055535,88.5637326306,'A',0,0,0
990118725,65.5274435588,'C',0,0,0
990006230,64.9129263876,'C',0,0,0
990029195,83.5331911709,'B',0,0,0
990085690,84.2867769509,'B',0,0,0
990037030,79.7876245279,'B',0,0,0
990109670,47.0015441874,'F',0,0,0
990056740,81.1536571202,'B',0,0,0
990250220,59.1371046618,'D',0,0,0
990147810,66.8075713954,'C',0,0,0
990091910,60.1625005877,'C',0,0,0
990193795,54.3140772106,'D',0,0,0
990018250,62.9585215909,'C',0,0,0
990164980,73.1795927485,'B',0,0,0
990172020,66.5741928364,'C',0,0,0
990089460,54.8912253923,'D',0,0,0
990052765,56.6580271765,'D',0,0,0
990156850,61.4066525725,'C',0,0,0
990031865,92.4082719417,'A',0,0,0
990048305,71.8195759596,'B',0,0,0
990184205,79.332879771,'B',0,0,0
990057395,96.2723139183,'A',0,0,0
990081880,61.9377347465,'C',0,0,0
990087155,68.3858642686,'C',0,0,0
990236540,65.854587643,'C',0,0,0
990239570,53.0278296086,'D',0,0,0
990077775,63.0011709249,'C',0,0,0
990006060,72.1573540513,'B',0,0,0
990084990,60.1398381219,'C',0,0,0
990124435,76.9188648095,'B',0,0,0
990103200,71.9858159167,'B',0,0,0
990228870,81.3599458247,'B',0,0,0
990101465,66.4562194238,'C',0,0,0
990206490,83.3462712104,'B',0,0,0
990046300,62.330431354,'C',0,0,0
990076560,84.3954707187,'B',0,0,0
990060480,77.1126156119,'B',0,0,0
990210900,73.2134202807,'B',0,0,0
990117640,83.1943006537,'B',0,0,0
990075020,51.2181759269,'D',0,0,0
990109730,63.2951139159,'C',0,0,0
990218555,74.0201249398,'B',0,0,0
990146630,67.101230117,'C',0,0,0
990092805,71.8076651194,'B',0,0,0
990234345,60.4931396299,'C',0,0,0
990139535,45.7348609807,'F',0,0,0
990010915,69.8817377463,'C',0,0,0
990045985,78.5390531213,'B',0,0,0
990090845,85.9845286048,'A',0,0,0
990061165,83.8553645879,'B',0,0,0
990124355,77.2967711361,'B',0,0,0
990174800,69.6756464287,'C',0,0,0
990130415,55.2399996728,'D',0,0,0
990245090,68.6692783056,'C',0,0,0
990111130,63.8257486572,'C',0,0,0
990107375,69.1454516019,'C',0,0,0
990206670,53.8749814648,'D',0,0,0
990151125,62.7592434549,'C',0,0,0
990207660,96.8866100842,'A',0,0,0
990069895,59.2115090792,'D',0,0,0
990241435,66.4438935131,'C',0,0,0
990189495,64.7683990352,'C',0,0,0
990063830,75.0939540088,'B',0,0,0
990206505,61.7520282584,'C',0,0,0
